location,total_sqft,bath,balcony,price,bedrooms,bed_per_bath,sqft_per_bath
Kundalahalli,1724.0,3.0,2.0,125.0,3,1.0,574.6666666666666
Chikkalasandra,1290.0,2.0,2.0,56.12,3,1.5,645.0
Uttarahalli,1143.0,2.0,2.0,45.0,2,1.0,571.5
Sarjapur  Road,1254.0,3.0,2.0,38.0,3,1.0,418.0
other,600.0,1.0,0.0,38.0,1,1.0,600.0
Yelahanka,660.0,1.0,0.0,48.0,1,1.0,660.0
Kanakpura Road,1330.74,2.0,2.0,91.79,2,1.0,665.37
Doddathoguru,970.0,2.0,0.0,33.0,2,1.0,485.0
Whitefield,1459.0,2.0,1.0,94.82,2,1.0,729.5
other,869.0,2.0,1.0,36.0,2,1.0,434.5
other,1270.0,2.0,1.0,50.0,2,1.0,635.0
Bhoganhalli,1670.0,3.0,1.0,99.0,3,1.0,556.6666666666666
Whitefield,2010.0,3.0,2.0,91.0,3,1.0,670.0
Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2,1.0,592.5
Yelahanka,1600.0,2.0,3.0,75.0,3,1.5,800.0
Begur Road,1200.0,2.0,2.0,44.0,2,1.0,600.0
other,840.0,2.0,2.0,45.0,2,1.0,420.0
other,845.0,2.0,1.0,55.0,2,1.0,422.5
Varthur,1160.0,2.0,2.0,44.0,2,1.0,580.0
Bommanahalli,3000.0,8.0,0.0,140.0,8,1.0,375.0
Doddathoguru,1100.0,2.0,1.0,62.0,2,1.0,550.0
Gunjur,1140.0,2.0,3.0,43.0,2,1.0,570.0
Marathahalli,1220.0,2.0,1.0,57.0,2,1.0,610.0
Kanakpura Road,1005.0,2.0,1.0,36.68,2,1.0,502.5
Begur Road,1358.0,2.0,1.0,80.58,2,1.0,679.0
Hegde Nagar,1569.0,3.0,1.0,101.0,3,1.0,523.0
Haralur Road,1240.0,2.0,1.0,70.0,2,1.0,620.0
Hennur Road,2089.0,3.0,2.0,140.0,3,1.0,696.3333333333334
Kothannur,1206.0,2.0,1.0,48.23,2,1.0,603.0
Kalena Agrahara,1150.0,2.0,3.0,40.0,2,1.0,575.0
other,2511.0,3.0,3.0,205.0,3,1.0,837.0
other,1660.0,2.0,2.0,105.0,3,1.5,830.0
Yelahanka,1326.0,2.0,2.0,78.0,2,1.0,663.0
Garudachar Palya,1325.0,2.0,2.0,60.8,3,1.5,662.5
EPIP Zone,1499.0,5.0,2.0,102.0,3,0.6,299.8
Hegde Nagar,3000.0,7.0,2.0,210.0,6,0.8571428571428571,428.57142857142856
Kanakpura Road,1665.0,3.0,2.0,88.0,3,1.0,555.0
Dasanapura,708.0,2.0,2.0,37.0,2,1.0,354.0
Kasavanhalli,1060.0,2.0,2.0,58.06,2,1.0,530.0
Sanjay nagar,1000.0,2.0,2.0,70.0,2,1.0,500.0
Electronic City,1000.0,2.0,1.0,28.88,2,1.0,500.0
other,1450.0,2.0,2.0,70.0,3,1.5,725.0
Thanisandra,1296.0,2.0,3.0,80.0,2,1.0,648.0
Domlur,1540.0,3.0,2.0,90.0,3,1.0,513.3333333333334
Kengeri,2894.0,4.0,1.0,245.0,4,1.0,723.5
Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3,1.5,665.0
other,1200.0,2.0,1.0,65.0,2,1.0,600.0
other,1200.0,3.0,1.0,90.0,3,1.0,400.0
Yeshwanthpur,2502.0,3.0,3.0,138.0,3,1.0,834.0
Chandapura,650.0,1.0,1.0,17.0,2,2.0,650.0
Kothanur,2400.0,2.0,1.0,150.0,3,1.5,1200.0
other,1007.0,2.0,2.0,43.0,2,1.0,503.5
other,1200.0,2.0,2.0,50.0,2,1.0,600.0
other,966.0,2.0,2.0,49.9,2,1.0,483.0
Nagarbhavi,1630.0,2.0,1.0,98.0,3,1.5,815.0
other,782.0,2.0,2.0,55.68,2,1.0,391.0
Devanahalli,1260.0,2.0,2.0,66.78,2,1.0,630.0
other,1800.0,3.0,3.0,120.0,3,1.0,600.0
other,1413.0,2.0,2.0,75.0,3,1.5,706.5
Whitefield,1116.0,2.0,1.0,51.91,2,1.0,558.0
Electronic City,1530.0,2.0,1.0,45.9,3,1.5,765.0
Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4,1.0,925.0
Sarjapur  Road,2497.0,3.0,2.0,140.0,3,1.0,832.3333333333334
Kengeri,1540.0,2.0,3.0,64.0,3,1.5,770.0
Thanisandra,1436.0,3.0,1.0,74.75,3,1.0,478.6666666666667
Malleshwaram,1100.0,2.0,2.0,75.0,2,1.0,550.0
Thanisandra,1427.0,3.0,2.0,120.0,3,1.0,475.6666666666667
Akshaya Nagar,2061.0,3.0,1.0,200.0,3,1.0,687.0
other,2650.0,4.0,2.0,150.0,4,1.0,662.5
Devanahalli,1282.0,2.0,2.0,68.52,3,1.5,641.0
Kadugodi,1050.0,2.0,1.0,34.0,2,1.0,525.0
other,1600.0,3.0,2.0,65.0,3,1.0,533.3333333333334
other,945.0,2.0,1.0,54.0,2,1.0,472.5
Hormavu,1500.0,2.0,1.0,78.0,2,1.0,750.0
other,1870.0,3.0,3.0,110.0,3,1.0,623.3333333333334
Sarjapur,1600.0,3.0,1.0,75.0,3,1.0,533.3333333333334
Electronic City,880.0,1.0,1.0,16.5,2,2.0,880.0
Kudlu Gate,1535.0,3.0,2.0,83.0,3,1.0,511.6666666666667
Kanakpura Road,950.0,2.0,1.0,57.0,2,1.0,475.0
Devanahalli,1360.0,2.0,1.0,65.0,2,1.0,680.0
8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,1.0,536.75
Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3,1.0,426.6666666666667
other,1260.0,2.0,2.0,85.05,3,1.5,630.0
Yelahanka,3050.0,5.0,1.0,213.0,5,1.0,610.0
Kasavanhalli,1563.05,3.0,1.0,105.0,3,1.0,521.0166666666667
other,1000.0,2.0,1.0,60.0,2,1.0,500.0
Anandapura,1167.0,2.0,1.0,43.76,2,1.0,583.5
other,4000.0,7.0,2.0,225.0,7,1.0,571.4285714285714
Kengeri Satellite Town,890.0,2.0,1.0,35.0,2,1.0,445.0
other,1612.0,3.0,3.0,46.74,3,1.0,537.3333333333334
Mysore Road,1710.0,4.0,2.0,91.31,3,0.75,427.5
Kannamangala,957.0,2.0,1.0,58.0,2,1.0,478.5
other,1250.0,2.0,3.0,44.0,3,1.5,625.0
Hulimavu,1125.0,2.0,2.0,50.0,2,1.0,562.5
Electronic City Phase II,1020.0,2.0,1.0,30.6,2,1.0,510.0
Kalena Agrahara,1200.0,2.0,2.0,50.0,2,1.0,600.0
Thanisandra,1735.0,3.0,3.0,135.0,3,1.0,578.3333333333334
Thanisandra,2050.0,3.0,1.0,145.0,3,1.0,683.3333333333334
other,1350.0,2.0,3.0,48.0,3,1.5,675.0
Hosa Road,1063.0,2.0,1.0,32.0,2,1.0,531.5
other,1904.0,3.0,1.0,150.0,3,1.0,634.6666666666666
other,2000.0,3.0,1.0,175.0,3,1.0,666.6666666666666
Sarjapur,1242.5,2.0,0.0,43.49,2,1.0,621.25
other,1425.0,2.0,2.0,75.0,3,1.5,712.5
Electronic City,1500.0,2.0,1.0,64.5,3,1.5,750.0
Electronic City,1060.0,2.0,1.0,60.0,2,1.0,530.0
other,1470.0,2.0,2.0,70.0,3,1.5,735.0
Attibele,450.0,1.0,1.0,11.0,1,1.0,450.0
Electronic City,1152.0,2.0,1.0,64.5,2,1.0,576.0
Electronic City,1350.0,2.0,1.0,56.0,3,1.5,675.0
CV Raman Nagar,1550.0,3.0,3.0,65.0,3,1.0,516.6666666666666
other,1500.0,3.0,2.0,100.0,3,1.0,500.0
Nagavara,400.0,1.0,0.0,14.0,1,1.0,400.0
Malleshwaram,705.0,1.0,2.0,67.0,1,1.0,705.0
Electronic City,770.0,1.0,1.0,36.0,2,2.0,770.0
Hulimavu,1242.0,2.0,3.0,51.0,2,1.0,621.0
Hebbal Kempapura,1700.0,3.0,2.0,155.0,3,1.0,566.6666666666666
Thanisandra,2144.0,3.0,2.0,145.0,3,1.0,714.6666666666666
Vijayanagar,1704.0,3.0,2.0,110.0,3,1.0,568.0
Electronic City,1070.0,2.0,1.0,52.0,2,1.0,535.0
other,1340.0,2.0,2.0,55.7,2,1.0,670.0
Electronic City,1025.0,2.0,1.0,46.0,2,1.0,512.5
KR Puram,1277.5,2.0,0.0,56.8,2,1.0,638.75
Marathahalli,1200.0,2.0,2.0,52.0,2,1.0,600.0
Kanakpura Road,2250.0,4.0,1.0,110.0,4,1.0,562.5
Pattandur Agrahara,1550.0,2.0,3.0,80.0,3,1.5,775.0
Marathahalli,1200.0,2.0,2.0,60.0,2,1.0,600.0
Yelahanka,1327.0,2.0,2.0,98.0,2,1.0,663.5
Kothanur,1186.0,2.0,2.0,58.0,2,1.0,593.0
other,1783.0,3.0,1.0,115.0,3,1.0,594.3333333333334
HSR Layout,1400.0,3.0,2.0,56.0,3,1.0,466.6666666666667
other,980.0,2.0,1.0,48.0,2,1.0,490.0
EPIP Zone,1285.0,2.0,2.0,82.0,2,1.0,642.5
other,912.0,2.0,1.0,70.0,3,1.5,456.0
Whitefield,1225.0,2.0,2.0,47.6,2,1.0,612.5
Whitefield,1075.0,2.0,1.0,53.0,2,1.0,537.5
Kadugodi,1260.0,2.0,2.0,54.0,3,1.5,630.0
Yelahanka,1282.0,2.0,2.0,48.7,3,1.5,641.0
Kogilu,1909.0,3.0,2.0,88.0,3,1.0,636.3333333333334
Panathur,1359.0,2.0,1.0,87.0,2,1.0,679.5
other,1207.0,2.0,2.0,43.5,2,1.0,603.5
Kammasandra,1595.0,3.0,2.0,65.0,3,1.0,531.6666666666666
other,1798.0,3.0,2.0,89.0,3,1.0,599.3333333333334
Electronics City Phase 1,1475.0,3.0,2.0,78.29,3,1.0,491.6666666666667
other,1580.0,3.0,3.0,100.0,3,1.0,526.6666666666666
Dasarahalli,1295.0,2.0,1.0,65.0,2,1.0,647.5
Magadi Road,3600.0,6.0,0.0,141.0,6,1.0,600.0
Electronic City,589.0,1.0,1.0,27.0,1,1.0,589.0
other,1415.0,3.0,3.0,78.0,3,1.0,471.6666666666667
Sarjapur  Road,1787.0,3.0,2.0,98.29,3,1.0,595.6666666666666
Sarjapur  Road,1787.0,3.0,2.0,125.0,3,1.0,595.6666666666666
Koramangala,1475.0,2.0,3.0,90.0,3,1.5,737.5
other,2000.0,4.0,1.0,75.5,4,1.0,500.0
Sarjapur  Road,984.0,2.0,1.0,44.28,2,1.0,492.0
7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,1.0,540.0
other,1500.0,2.0,1.0,115.0,2,1.0,750.0
Hebbal,1900.0,3.0,2.0,119.0,3,1.0,633.3333333333334
Dommasandra,805.0,2.0,1.0,22.14,2,1.0,402.5
Budigere,1153.0,2.0,2.0,56.4,2,1.0,576.5
other,1148.0,2.0,2.0,60.0,2,1.0,574.0
other,1110.0,2.0,2.0,55.0,2,1.0,555.0
Electronic City,1100.0,2.0,2.0,42.0,2,1.0,550.0
Kalyan nagar,1290.0,2.0,2.0,110.0,2,1.0,645.0
other,1500.0,2.0,1.0,65.0,3,1.5,750.0
other,1080.0,2.0,2.0,39.0,2,1.0,540.0
Vijayanagar,1933.0,3.0,1.0,129.0,3,1.0,644.3333333333334
Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5,1.0,700.0
other,1060.0,2.0,2.0,60.0,2,1.0,530.0
Chandapura,645.0,1.0,1.0,16.45,1,1.0,645.0
other,2600.0,8.0,2.0,180.0,8,1.0,325.0
Chandapura,645.0,1.0,1.0,16.45,1,1.0,645.0
other,1644.0,3.0,3.0,84.0,3,1.0,548.0
other,1285.0,2.0,3.0,72.5,2,1.0,642.5
Electronic City,1200.0,3.0,1.0,90.0,3,1.0,400.0
Electronic City,910.0,2.0,1.0,40.0,2,1.0,455.0
Kothanur,1577.0,3.0,1.0,70.0,3,1.0,525.6666666666666
OMBR Layout,2420.0,3.0,2.0,185.0,3,1.0,806.6666666666666
Chandapura,800.0,1.0,1.0,20.0,2,2.0,800.0
other,1060.0,2.0,2.0,55.0,2,1.0,530.0
7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,1.0,635.0
other,900.0,2.0,2.0,22.5,2,1.0,450.0
other,1280.0,2.0,1.0,69.0,2,1.0,640.0
Horamavu Agara,1200.0,2.0,0.0,95.0,4,2.0,600.0
Sarjapur  Road,1025.0,2.0,2.0,36.0,2,1.0,512.5
Electronic City,1108.0,2.0,1.0,63.0,2,1.0,554.0
other,3045.0,3.0,2.0,170.0,3,1.0,1015.0
Vijayanagar,1500.0,3.0,2.0,75.5,3,1.0,500.0
Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2,1.0,647.5
Budigere,1162.0,2.0,1.0,59.9,2,1.0,581.0
Sarjapur  Road,1035.0,2.0,2.0,49.2,2,1.0,517.5
Attibele,1600.0,4.0,0.0,52.8,4,1.0,400.0
other,1464.0,3.0,2.0,46.0,3,1.0,488.0
Hennur Road,1866.0,2.0,2.0,61.58,3,1.5,933.0
other,700.0,1.0,1.0,26.0,2,2.0,700.0
Kalena Agrahara,1804.0,3.0,2.0,120.0,3,1.0,601.3333333333334
Sarjapur,913.0,2.0,1.0,32.0,2,1.0,456.5
Talaghattapura,1868.0,3.0,2.0,131.0,3,1.0,622.6666666666666
Kengeri Satellite Town,883.0,2.0,1.0,45.0,2,1.0,441.5
Kogilu,1664.0,2.0,3.0,73.95,3,1.5,832.0
Hegde Nagar,2026.0,3.0,2.0,132.0,3,1.0,675.3333333333334
Balagere,1210.0,2.0,1.0,80.9,2,1.0,605.0
Kadugodi,1762.0,3.0,3.0,91.45,3,1.0,587.3333333333334
Jigani,1252.0,3.0,3.0,55.0,3,1.0,417.3333333333333
Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2,1.0,430.5
7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3,1.5,710.0
Electronics City Phase 1,1490.0,3.0,1.0,78.8,3,1.0,496.6666666666667
Bisuvanahalli,1075.0,2.0,1.0,46.0,3,1.5,537.5
Old Madras Road,1425.0,2.0,2.0,94.0,3,1.5,712.5
Kalena Agrahara,1200.0,2.0,1.0,40.0,2,1.0,600.0
Kaggadasapura,1280.0,2.0,2.0,56.0,3,1.5,640.0
other,1084.0,2.0,2.0,50.0,2,1.0,542.0
Chandapura,1015.0,2.0,2.0,25.88,2,1.0,507.5
Kanakpura Road,1017.0,2.0,1.0,51.25,2,1.0,508.5
Haralur Road,1027.0,2.0,2.0,44.0,2,1.0,513.5
Electronic City Phase II,1069.0,2.0,2.0,45.0,2,1.0,534.5
Hebbal,1349.0,2.0,1.0,98.2,2,1.0,674.5
9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2,1.0,502.5
Jakkur,1417.0,2.0,3.0,75.0,2,1.0,708.5
TC Palaya,1475.0,3.0,1.0,98.0,3,1.0,491.6666666666667
other,950.0,2.0,2.0,47.0,2,1.0,475.0
other,2000.0,4.0,0.0,120.0,4,1.0,500.0
Sarjapur  Road,1863.0,3.0,2.0,104.0,4,1.3333333333333333,621.0
Singasandra,1010.0,2.0,1.0,29.5,2,1.0,505.0
Kalena Agrahara,1425.0,2.0,1.0,70.0,3,1.5,712.5
Vijayanagar,1450.0,3.0,0.0,100.0,3,1.0,483.3333333333333
Kothanur,1847.0,3.0,2.0,105.0,3,1.0,615.6666666666666
AECS Layout,1100.0,2.0,3.0,45.0,2,1.0,550.0
Kanakpura Road,525.0,1.0,1.0,26.0,1,1.0,525.0
Mallasandra,1665.0,3.0,2.0,95.0,3,1.0,555.0
Begur,1664.0,4.0,3.0,65.0,4,1.0,416.0
JP Nagar,1850.0,3.0,3.0,150.0,3,1.0,616.6666666666666
Panathur,1438.0,2.0,3.0,100.0,2,1.0,719.0
other,1560.0,3.0,3.0,115.0,3,1.0,520.0
Yelahanka,1350.0,2.0,1.0,55.55,2,1.0,675.0
Kanakpura Road,1550.0,3.0,3.0,67.0,3,1.0,516.6666666666666
Malleshpalya,1140.0,2.0,2.0,46.5,2,1.0,570.0
other,850.0,2.0,2.0,27.0,2,1.0,425.0
Whitefield,1280.0,2.0,2.0,75.0,2,1.0,640.0
Munnekollal,1170.0,2.0,2.0,52.0,2,1.0,585.0
other,1113.0,2.0,1.0,51.0,2,1.0,556.5
Hennur Road,1385.0,2.0,1.0,83.09,2,1.0,692.5
Electronic City,1128.0,2.0,1.0,65.0,2,1.0,564.0
Haralur Road,1464.0,3.0,2.0,56.0,3,1.0,488.0
other,1200.0,2.0,2.0,55.0,2,1.0,600.0
Kaval Byrasandra,1200.0,2.0,2.0,52.0,2,1.0,600.0
Kaggalipura,1150.0,2.0,1.0,55.0,3,1.5,575.0
other,1645.0,3.0,2.0,95.0,3,1.0,548.3333333333334
Sarjapur  Road,1000.0,2.0,1.0,67.0,2,1.0,500.0
Haralur Road,2650.0,4.0,2.0,198.0,4,1.0,662.5
6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2,1.0,596.0
Whitefield,1173.0,2.0,1.0,58.0,2,1.0,586.5
Uttarahalli,1020.0,2.0,2.0,45.0,2,1.0,510.0
Thigalarapalya,3122.0,6.0,2.0,230.0,4,0.6666666666666666,520.3333333333334
Somasundara Palya,1600.0,3.0,3.0,64.0,3,1.0,533.3333333333334
other,1200.0,2.0,0.0,79.0,2,1.0,600.0
other,1230.0,2.0,3.0,48.0,2,1.0,615.0
other,1250.0,2.0,2.0,40.0,2,1.0,625.0
Kalena Agrahara,1325.0,2.0,2.0,76.0,2,1.0,662.5
7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3,1.0,616.6666666666666
other,1200.0,2.0,2.0,65.0,2,1.0,600.0
Bommasandra,1260.0,3.0,1.0,49.36,3,1.0,420.0
other,1800.0,3.0,0.0,150.0,3,1.0,600.0
Ardendale,1100.0,2.0,1.0,43.25,2,1.0,550.0
Harlur,1508.0,2.0,1.0,77.0,2,1.0,754.0
other,1592.0,3.0,2.0,75.0,3,1.0,530.6666666666666
Akshaya Nagar,1388.0,2.0,3.0,57.0,2,1.0,694.0
Electronic City Phase II,630.0,1.0,1.0,28.35,1,1.0,630.0
other,1762.0,3.0,1.0,125.0,3,1.0,587.3333333333334
other,950.0,2.0,2.0,50.0,2,1.0,475.0
Magadi Road,1116.0,2.0,1.0,50.0,2,1.0,558.0
Narayanapura,1308.0,2.0,2.0,89.04,2,1.0,654.0
other,1200.0,3.0,0.0,90.0,3,1.0,400.0
Bannerghatta Road,500.0,1.0,1.0,18.5,1,1.0,500.0
Hennur,1075.0,2.0,1.0,52.0,2,1.0,537.5
Chandapura,530.0,1.0,0.0,11.66,1,1.0,530.0
Bellandur,1205.0,2.0,3.0,66.0,2,1.0,602.5
5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2,1.0,537.5
KR Puram,930.0,2.0,2.0,39.0,2,1.0,465.0
Balagere,1380.0,2.0,1.0,60.0,2,1.0,690.0
Hebbal,2483.0,5.0,2.0,212.0,4,0.8,496.6
Kodigehaali,1166.0,2.0,2.0,55.0,2,1.0,583.0
Bannerghatta Road,1050.0,2.0,1.0,65.0,2,1.0,525.0
Begur Road,1200.0,2.0,2.0,46.8,2,1.0,600.0
Lakshminarayana Pura,1600.0,2.0,1.0,108.0,3,1.5,800.0
Billekahalli,1935.0,3.0,2.0,110.0,3,1.0,645.0
8th Phase JP Nagar,451.0,1.0,0.0,29.9,1,1.0,451.0
Electronic City,1800.0,3.0,2.0,95.0,3,1.0,600.0
Jalahalli,1400.0,3.0,0.0,77.0,3,1.0,466.6666666666667
Hegde Nagar,1801.0,3.0,2.0,115.0,3,1.0,600.3333333333334
Anekal,1200.0,1.0,1.0,36.0,2,2.0,1200.0
Begur Road,1160.0,2.0,2.0,44.0,2,1.0,580.0
Kengeri,1000.0,2.0,1.0,25.0,2,1.0,500.0
Kanakpura Road,950.0,2.0,1.0,40.0,2,1.0,475.0
other,1629.0,3.0,2.0,79.0,3,1.0,543.0
Vijayanagar,1580.0,2.0,0.0,134.0,3,1.5,790.0
Vijayanagar,1826.0,3.0,2.0,121.0,3,1.0,608.6666666666666
7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2,1.0,622.5
Raja Rajeshwari Nagar,1145.0,2.0,2.0,45.79,2,1.0,572.5
Sompura,825.0,2.0,1.0,33.0,2,1.0,412.5
Yeshwanthpur,1693.0,3.0,3.0,108.0,3,1.0,564.3333333333334
Electronics City Phase 1,1113.27,2.0,2.0,53.0,2,1.0,556.635
other,1460.0,2.0,1.0,58.0,2,1.0,730.0
Doddathoguru,1050.0,2.0,1.0,32.0,2,1.0,525.0
Dodda Nekkundi,1260.0,2.0,2.0,55.0,2,1.0,630.0
Hosur Road,1656.0,2.0,1.0,120.0,2,1.0,828.0
Chandapura,1208.0,3.0,1.0,45.0,3,1.0,402.6666666666667
Whitefield,1910.0,3.0,2.0,161.0,3,1.0,636.6666666666666
Whitefield,3252.0,4.0,1.0,230.0,4,1.0,813.0
Battarahalli,1200.0,2.0,1.0,65.0,2,1.0,600.0
7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2,1.0,587.5
Kengeri,750.0,2.0,1.0,38.0,2,1.0,375.0
Kanakpura Road,1550.0,3.0,3.0,64.5,3,1.0,516.6666666666666
other,1760.0,3.0,2.0,88.0,3,1.0,586.6666666666666
Billekahalli,1125.0,2.0,2.0,62.0,2,1.0,562.5
Anandapura,1000.0,2.0,1.0,55.0,2,1.0,500.0
Bommasandra Industrial Area,1090.0,2.0,2.0,31.48,2,1.0,545.0
TC Palaya,1200.0,2.0,0.0,60.0,2,1.0,600.0
Budigere,1991.0,4.0,2.0,103.0,3,0.75,497.75
Bommasandra,1060.0,2.0,1.0,26.5,2,1.0,530.0
Ambalipura,1105.0,2.0,1.0,75.0,2,1.0,552.5
Hoodi,985.0,2.0,2.0,67.0,2,1.0,492.5
Balagere,1590.0,3.0,2.0,79.0,3,1.0,530.0
CV Raman Nagar,1120.0,2.0,2.0,55.0,2,1.0,560.0
other,1069.0,2.0,1.0,55.0,2,1.0,534.5
Marathahalli,1933.0,3.0,2.0,140.0,3,1.0,644.3333333333334
Hosur Road,1194.0,2.0,0.0,69.0,2,1.0,597.0
Brookefield,1150.0,2.0,3.0,69.0,2,1.0,575.0
Yelenahalli,1240.0,2.0,2.0,47.12,2,1.0,620.0
Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.1,2,1.0,709.5
other,1450.0,3.0,2.0,55.0,3,1.0,483.3333333333333
other,1630.0,3.0,2.0,68.29,3,1.0,543.3333333333334
Dasanapura,708.0,1.0,1.0,40.0,2,2.0,708.0
Bellandur,1250.0,2.0,1.0,76.0,2,1.0,625.0
7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3,1.5,700.0
Sarjapur  Road,1670.0,2.0,3.0,57.0,3,1.5,835.0
Ardendale,1750.0,3.0,2.0,100.0,3,1.0,583.3333333333334
Vittasandra,1404.0,2.0,1.0,71.0,2,1.0,702.0
Hoodi,1715.0,2.0,2.0,95.0,3,1.5,857.5
Electronic City,630.0,1.0,1.0,34.65,1,1.0,630.0
Harlur,1752.12,3.0,2.0,135.0,3,1.0,584.04
Hulimavu,1650.0,3.0,2.0,78.0,3,1.0,550.0
Raja Rajeshwari Nagar,1295.0,2.0,1.0,55.47,2,1.0,647.5
Sarjapur  Road,1346.0,2.0,1.0,74.03,2,1.0,673.0
Hormavu,1150.0,2.0,2.0,55.0,2,1.0,575.0
other,3309.0,4.0,3.0,325.0,4,1.0,827.25
Chandapura,1190.0,2.0,2.0,30.35,3,1.5,595.0
AECS Layout,1620.0,3.0,2.0,98.0,3,1.0,540.0
Marathahalli,950.0,2.0,1.0,46.96,2,1.0,475.0
Harlur,2450.0,3.0,0.0,120.0,3,1.0,816.6666666666666
Electronic City Phase II,1220.0,2.0,1.0,35.23,3,1.5,610.0
other,850.0,2.0,1.0,30.0,2,1.0,425.0
Padmanabhanagar,1020.0,2.0,2.0,63.0,2,1.0,510.0
Chikkalasandra,1100.0,2.0,2.0,50.0,2,1.0,550.0
Hebbal,1760.0,2.0,2.0,130.0,3,1.5,880.0
Ambalipura,1800.0,3.0,3.0,110.0,3,1.0,600.0
Akshaya Nagar,1070.0,2.0,1.0,54.0,2,1.0,535.0
Vidyaranyapura,1440.0,2.0,0.0,95.0,2,1.0,720.0
Amruthahalli,900.0,2.0,1.0,40.0,2,1.0,450.0
Whitefield,1130.0,2.0,1.0,42.16,2,1.0,565.0
other,1270.0,2.0,1.0,98.0,2,1.0,635.0
other,1200.0,2.0,1.0,62.0,2,1.0,600.0
other,1200.0,2.0,1.0,74.0,2,1.0,600.0
Subramanyapura,929.0,2.0,0.0,50.17,2,1.0,464.5
other,1464.0,3.0,2.0,56.0,3,1.0,488.0
other,2000.0,4.0,2.0,99.0,4,1.0,500.0
Chikkalasandra,1208.0,2.0,1.0,49.0,2,1.0,604.0
Hebbal Kempapura,1130.0,2.0,2.0,60.0,2,1.0,565.0
other,1753.0,3.0,2.0,120.0,3,1.0,584.3333333333334
Hoodi,1196.0,2.0,2.0,94.42,2,1.0,598.0
5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2,0.6666666666666666,383.3333333333333
Electronic City,1128.0,2.0,1.0,63.0,2,1.0,564.0
other,1000.0,2.0,1.0,53.0,2,1.0,500.0
Yelahanka,1035.0,2.0,1.0,45.0,2,1.0,517.5
Kereguddadahalli,950.0,2.0,1.0,32.0,2,1.0,475.0
Bisuvanahalli,1075.0,2.0,1.0,36.0,3,1.5,537.5
